ts,symbol,type,total,direction,factors,tech,whale,oi,stable_d,cluster,cvd,vol,fg,liq,ls,stw,fr,mtf,contra,rsi,rsivol,oi_pct,stable_pct,price,cvd_veto,cooldown_loss,hl_oi,hl_fr,hl_whale,vp,vp_pos,ff,ff_detail,ob,ob_pct
2026-04-22 04:19:30,TRXUSDT,W,-6,SHORT,6,-2,0,0,0,0,-2,-1,-1,0,1,0,0,1,-1,60.1,82.4,0.01,9.93,0.3319,,,0,-1,0,-1,vah_resist,0,fan_up pivot=0.0 dist=2.5%,0,-4.4
2026-04-22 04:19:42,BGBUSDT,W,4,LONG,4,3,0,0,0,2,0,-1,-1,0,1,0,0,-1,0,57.8,37.1,0.0,9.93,1.894,,,0,0,0,0,error,0,fan_down pivot=4.0 dist=3.0%,1,30.6
2026-04-22 04:28:37,ETHUSDT,T,7,LONG,5,7,0,0,0,1,0,-1,-1,-1,1,0,0,1,1,76.1,10.4,0.01,9.94,2360.01,,,0,-1,0,0,inside_va,1,line=78.6%@2348.97 support,0,18.5
2026-04-22 04:29:01,TONUSDT,T,4,LONG,4,1,0,0,0,0,2,-1,-1,0,1,0,0,3,-1,78.1,30.4,-0.07,9.94,1.3737,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.3%,0,7.2
2026-04-22 04:29:19,TRBUSDT,W,0,NEUTRAL,0,3,0,0,0,0,-2,-1,-1,0,1,0,0,1,2,61.9,0.0,0.08,9.94,18.552,,,0,-1,0,1,poc_support,0,fan_up pivot=12.0 dist=2.7%,-1,-21.2
2026-04-22 04:29:49,SOLUSDT,W,6,LONG,4,6,0,0,0,1,2,-1,-1,-1,1,0,0,0,0,72.3,12.2,0.12,9.94,87.08,,,0,-1,0,0,error,0,fan_down pivot=130.0 dist=192.9%,0,3.8
2026-04-22 04:30:05,XRPUSDT,W,5,LONG,4,5,0,0,0,0,0,-1,-1,1,1,0,0,2,0,71.0,12.7,0.11,9.94,1.4446,,,0,-1,0,-1,poc_resist,0,fan_down pivot=2.0 dist=5.5%,0,-2.6
2026-04-22 04:30:19,LUNCUSDT,W,6,LONG,4,5,0,0,0,1,1,-1,-1,0,0,0,0,0,0,94.7,29.0,0.0,9.94,0.0,,,0,0,0,0,error,-1,line=23.6%@0.0 resist,2,40.2
2026-04-22 04:30:37,LINKUSDT,W,9,LONG,5,5,0,0,0,1,2,-1,-1,0,1,0,0,3,0,74.5,20.8,-0.16,9.94,9.495,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=34.1%,0,-1.0
2026-04-22 04:30:53,LTCUSDT,W,5,LONG,3,5,0,0,0,0,0,-1,-1,0,1,0,0,3,0,73.2,14.3,-0.0,9.94,55.84,,,0,-1,0,-1,poc_resist,0,fan_down pivot=85.0 dist=6.0%,0,0.5
